dataset = MNIST
model = SortMLPModel(depth=5,width=5120,scalar=True,dropout=0.75,identity_val=10.0)
loss = mixture(lam0=0.02,lam_end=0.0002)
p_start = 8.0
p_end = 1000.0
eps_train = 0.45
eps_test = 0.3
eps_smooth = 0.4
epochs = 0,0,100,1450,1500
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 1
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(28, 28), padding=1)
    ToTensor()
    Normalize(mean=[0.1307], std=[0.3081])
)
SortMLPModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=784, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(in_features=5120, out_features=10, bias=True)
  )
)
number of params:  82708491
Epoch 46:  train loss 0.0292   train acc 0.9860   worst 0.9474   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 10.88
Epoch 47:  train loss 0.0297   train acc 0.9856   worst 0.9479   lr 0.0200   p 8.00   eps 1.4606   mix 0.0200   time 11.31
Epoch 48:  train loss 0.0293   train acc 0.9854   worst 0.9486   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.43
Epoch 49:  train loss 0.0282   train acc 0.9863   worst 0.9496   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.19
Epoch 50:  train loss 0.0287   train acc 0.9863   worst 0.9493   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.69
Epoch 51:  train loss 0.0277   train acc 0.9864   worst 0.9510   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.95
Epoch 52:  train loss 0.0272   train acc 0.9870   worst 0.9503   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.03
Epoch 53:  train loss 0.0268   train acc 0.9871   worst 0.9515   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.03
Epoch 54:  train loss 0.0272   train acc 0.9869   worst 0.9513   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.94
Epoch 55:  train loss 0.0268   train acc 0.9872   worst 0.9528   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.22
Epoch 56:  train loss 0.0263   train acc 0.9878   worst 0.9519   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.19
Epoch 57:  train loss 0.0260   train acc 0.9875   worst 0.9523   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.81
Epoch 58:  train loss 0.0258   train acc 0.9876   worst 0.9529   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.96
Epoch 59:  train loss 0.0255   train acc 0.9875   worst 0.9553   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.87
Epoch 60:  train loss 0.0255   train acc 0.9880   worst 0.9539   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.01
Epoch 61:  train loss 0.0249   train acc 0.9883   worst 0.9550   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.14
Epoch 62:  train loss 0.0245   train acc 0.9881   worst 0.9550   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.78
Epoch 63:  train loss 0.0243   train acc 0.9884   worst 0.9547   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.17
Epoch 64:  train loss 0.0245   train acc 0.9881   worst 0.9552   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.80
Epoch 65:  train loss 0.0237   train acc 0.9889   worst 0.9559   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.70
Epoch 66:  train loss 0.0240   train acc 0.9888   worst 0.9562   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.85
Epoch 67:  train loss 0.0232   train acc 0.9891   worst 0.9565   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.15
Epoch 68:  train loss 0.0243   train acc 0.9884   worst 0.9560   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.33
Epoch 69:  train loss 0.0237   train acc 0.9890   worst 0.9563   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.74
Epoch 70:  train loss 0.0236   train acc 0.9887   worst 0.9558   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 10.90
Epoch 71:  train loss 0.0226   train acc 0.9892   worst 0.9580   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 11.16
Epoch 72:  train loss 0.0223   train acc 0.9896   worst 0.9585   lr 0.0199   p 8.00   eps 1.4606   mix 0.0200   time 9.96
