dataset = MNIST
model = SortMLPModel(depth=5,width=5120,scalar=True,dropout=0.7,identity_val=10.0)
loss = mixture(lam0=0.1,lam_end=0.001)
p_start = 8.0
p_end = 1000.0
eps_train = 0.3
eps_test = 0.1
eps_smooth = 0.4
epochs = 0,0,100,1450,1500
decays = None
batch_size = 512
lr = 0.02
wd = 0.02
beta1 = 0.9
beta2 = 0.99
epsilon = 1e-10
start_epoch = 0
checkpoint = None
gpu = 3
dist_url = tcp://localhost:23456
world_size = 1
rank = 0
print_freq = 200
result_dir = result
filter_name = 
seed = 2021
visualize = False
Compose(
    RandomCrop(size=(28, 28), padding=1)
    ToTensor()
    Normalize(mean=[0.1307], std=[0.3081])
)
SortMLPModel(
  (fc_dist): BoundSequential(
    (0): NormDist(
      in_features=784, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (1): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (2): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (3): NormDist(
      in_features=5120, out_features=5120, bias=False
      (mean_shift): MeanShiftDropout(5120, affine=False)
    )
    (4): NormDist(in_features=5120, out_features=10, bias=True)
  )
)
number of params:  82708491
Epoch 0:  train loss 0.9702   train acc 0.4360   worst 0.0580   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 8.84
Epoch 12:  train loss 0.0845   train acc 0.9606   worst 0.8849   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.53
Epoch 13:  train loss 0.0791   train acc 0.9636   worst 0.8918   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.85
Epoch 14:  train loss 0.0733   train acc 0.9659   worst 0.9008   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.55
Epoch 15:  train loss 0.0665   train acc 0.9695   worst 0.9060   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.83
Epoch 16:  train loss 0.0642   train acc 0.9710   worst 0.9107   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.13
Epoch 17:  train loss 0.0591   train acc 0.9730   worst 0.9171   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.67
Epoch 18:  train loss 0.0567   train acc 0.9741   worst 0.9212   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.31
Epoch 19:  train loss 0.0541   train acc 0.9750   worst 0.9235   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.72
Epoch 20:  train loss 0.0514   train acc 0.9770   worst 0.9271   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.94
Epoch 21:  train loss 0.0492   train acc 0.9775   worst 0.9295   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.21
Epoch 22:  train loss 0.0473   train acc 0.9785   worst 0.9325   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.80
Epoch 23:  train loss 0.0463   train acc 0.9793   worst 0.9337   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.68
Epoch 24:  train loss 0.0445   train acc 0.9800   worst 0.9355   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.24
Epoch 25:  train loss 0.0431   train acc 0.9810   worst 0.9371   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.03
Epoch 26:  train loss 0.0415   train acc 0.9817   worst 0.9405   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 9.91
Epoch 27:  train loss 0.0404   train acc 0.9821   worst 0.9416   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.73
Epoch 28:  train loss 0.0396   train acc 0.9820   worst 0.9434   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.85
Epoch 29:  train loss 0.0382   train acc 0.9837   worst 0.9427   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.81
Epoch 30:  train loss 0.0364   train acc 0.9840   worst 0.9457   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.28
Epoch 31:  train loss 0.0366   train acc 0.9839   worst 0.9456   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.97
Epoch 32:  train loss 0.0348   train acc 0.9853   worst 0.9480   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 11.17
Epoch 33:  train loss 0.0346   train acc 0.9846   worst 0.9480   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 10.95
Epoch 34:  train loss 0.0336   train acc 0.9859   worst 0.9493   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 11.62
Epoch 35:  train loss 0.0332   train acc 0.9858   worst 0.9499   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.55
Epoch 36:  train loss 0.0325   train acc 0.9865   worst 0.9502   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.86
Epoch 37:  train loss 0.0318   train acc 0.9861   worst 0.9518   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.74
Epoch 38:  train loss 0.0305   train acc 0.9873   worst 0.9531   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.64
Epoch 39:  train loss 0.0310   train acc 0.9869   worst 0.9532   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.60
Epoch 40:  train loss 0.0297   train acc 0.9876   worst 0.9544   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.74
Epoch 41:  train loss 0.0300   train acc 0.9875   worst 0.9533   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 18.30
Epoch 42:  train loss 0.0287   train acc 0.9882   worst 0.9557   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.36
Epoch 43:  train loss 0.0285   train acc 0.9880   worst 0.9551   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.52
Epoch 44:  train loss 0.0285   train acc 0.9883   worst 0.9549   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.97
Epoch 45:  train loss 0.0273   train acc 0.9890   worst 0.9564   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.97
Epoch 46:  train loss 0.0269   train acc 0.9893   worst 0.9573   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 17.97
Epoch 47:  train loss 0.0271   train acc 0.9887   worst 0.9580   lr 0.0200   p 8.00   eps 0.9737   mix 0.1000   time 18.00
Epoch 48:  train loss 0.0268   train acc 0.9889   worst 0.9586   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.63
Epoch 49:  train loss 0.0260   train acc 0.9895   worst 0.9584   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.61
Epoch 50:  train loss 0.0268   train acc 0.9885   worst 0.9582   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.93
Epoch 51:  train loss 0.0259   train acc 0.9895   worst 0.9586   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.43
Epoch 52:  train loss 0.0250   train acc 0.9897   worst 0.9602   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 16.96
Epoch 53:  train loss 0.0247   train acc 0.9901   worst 0.9601   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.18
Epoch 54:  train loss 0.0250   train acc 0.9902   worst 0.9603   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.23
Epoch 55:  train loss 0.0238   train acc 0.9905   worst 0.9608   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.25
Epoch 56:  train loss 0.0238   train acc 0.9908   worst 0.9602   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.59
Epoch 57:  train loss 0.0234   train acc 0.9905   worst 0.9619   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.75
Epoch 58:  train loss 0.0233   train acc 0.9907   worst 0.9616   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.65
Epoch 59:  train loss 0.0232   train acc 0.9904   worst 0.9636   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.79
Epoch 60:  train loss 0.0235   train acc 0.9905   worst 0.9619   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.87
Epoch 61:  train loss 0.0223   train acc 0.9914   worst 0.9624   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.91
Epoch 62:  train loss 0.0228   train acc 0.9905   worst 0.9638   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.82
Epoch 63:  train loss 0.0221   train acc 0.9914   worst 0.9624   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.65
Epoch 64:  train loss 0.0223   train acc 0.9910   worst 0.9632   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.62
Epoch 65:  train loss 0.0212   train acc 0.9917   worst 0.9646   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.57
Epoch 66:  train loss 0.0214   train acc 0.9913   worst 0.9640   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.74
Epoch 67:  train loss 0.0214   train acc 0.9916   worst 0.9643   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.55
Epoch 68:  train loss 0.0209   train acc 0.9919   worst 0.9650   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.75
Epoch 69:  train loss 0.0206   train acc 0.9921   worst 0.9652   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.78
Epoch 70:  train loss 0.0208   train acc 0.9916   worst 0.9648   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.74
Epoch 71:  train loss 0.0204   train acc 0.9922   worst 0.9653   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.72
Epoch 72:  train loss 0.0194   train acc 0.9931   worst 0.9657   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.87
Epoch 73:  train loss 0.0198   train acc 0.9927   worst 0.9660   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.78
Epoch 74:  train loss 0.0199   train acc 0.9923   worst 0.9667   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.80
Epoch 75:  train loss 0.0200   train acc 0.9924   worst 0.9655   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.72
Epoch 76:  train loss 0.0195   train acc 0.9929   worst 0.9662   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.71
Epoch 77:  train loss 0.0196   train acc 0.9925   worst 0.9674   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.55
Epoch 78:  train loss 0.0188   train acc 0.9929   worst 0.9676   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.48
Epoch 79:  train loss 0.0195   train acc 0.9925   worst 0.9669   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.55
Epoch 80:  train loss 0.0189   train acc 0.9928   worst 0.9676   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.52
Epoch 81:  train loss 0.0187   train acc 0.9934   worst 0.9666   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.56
Epoch 82:  train loss 0.0193   train acc 0.9929   worst 0.9667   lr 0.0199   p 8.00   eps 0.9737   mix 0.1000   time 17.66
Epoch 83:  train loss 0.0187   train acc 0.9929   worst 0.9684   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.49
Epoch 84:  train loss 0.0186   train acc 0.9931   worst 0.9673   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.59
Epoch 85:  train loss 0.0188   train acc 0.9931   worst 0.9664   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.83
Epoch 86:  train loss 0.0183   train acc 0.9933   worst 0.9680   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.85
Epoch 87:  train loss 0.0178   train acc 0.9938   worst 0.9674   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 18.03
Epoch 88:  train loss 0.0179   train acc 0.9935   worst 0.9682   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 18.06
Epoch 89:  train loss 0.0171   train acc 0.9936   worst 0.9693   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.91
Epoch 90:  train loss 0.0174   train acc 0.9935   worst 0.9693   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.87
Epoch 91:  train loss 0.0173   train acc 0.9940   worst 0.9695   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.82
Epoch 92:  train loss 0.0171   train acc 0.9940   worst 0.9694   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.65
Epoch 93:  train loss 0.0175   train acc 0.9941   worst 0.9684   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.95
Epoch 94:  train loss 0.0177   train acc 0.9934   worst 0.9688   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 18.45
Epoch 95:  train loss 0.0166   train acc 0.9941   worst 0.9699   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.65
Epoch 96:  train loss 0.0174   train acc 0.9935   worst 0.9692   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.61
Epoch 97:  train loss 0.0167   train acc 0.9941   worst 0.9703   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.99
Epoch 98:  train loss 0.0167   train acc 0.9941   worst 0.9694   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.98
Epoch 99:  train loss 0.0170   train acc 0.9939   worst 0.9696   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 17.78
Epoch 100:  train loss 0.0168   train acc 0.9942   worst 0.9699   lr 0.0198   p 8.00   eps 0.9737   mix 0.1000   time 22.84
Epoch 101:  train loss 0.0162   train acc 0.9944   worst 0.9703   lr 0.0198   p 8.03   eps 0.9737   mix 0.0997   time 23.33
Epoch 102:  train loss 0.0168   train acc 0.9944   worst 0.9686   lr 0.0198   p 8.06   eps 0.9737   mix 0.0993   time 23.17
Epoch 103:  train loss 0.0166   train acc 0.9942   worst 0.9688   lr 0.0198   p 8.09   eps 0.9737   mix 0.0990   time 22.50
Epoch 104:  train loss 0.0167   train acc 0.9943   worst 0.9691   lr 0.0198   p 8.12   eps 0.9737   mix 0.0986   time 23.15
Epoch 105:  train loss 0.0164   train acc 0.9946   worst 0.9691   lr 0.0198   p 8.14   eps 0.9737   mix 0.0983   time 23.29
Epoch 106:  train loss 0.0166   train acc 0.9943   worst 0.9687   lr 0.0198   p 8.17   eps 0.9737   mix 0.0980   time 22.16
Epoch 107:  train loss 0.0164   train acc 0.9945   worst 0.9688   lr 0.0197   p 8.20   eps 0.9737   mix 0.0976   time 23.17
Epoch 108:  train loss 0.0169   train acc 0.9941   worst 0.9683   lr 0.0197   p 8.23   eps 0.9737   mix 0.0973   time 22.75
Epoch 109:  train loss 0.0166   train acc 0.9945   worst 0.9689   lr 0.0197   p 8.26   eps 0.9737   mix 0.0970   time 22.96
Epoch 110:  train loss 0.0168   train acc 0.9944   worst 0.9675   lr 0.0197   p 8.29   eps 0.9737   mix 0.0966   time 23.24
Epoch 111:  train loss 0.0168   train acc 0.9945   worst 0.9677   lr 0.0197   p 8.32   eps 0.9737   mix 0.0963   time 23.21
Epoch 112:  train loss 0.0163   train acc 0.9944   worst 0.9685   lr 0.0197   p 8.35   eps 0.9737   mix 0.0960   time 23.13
Epoch 113:  train loss 0.0170   train acc 0.9943   worst 0.9680   lr 0.0197   p 8.38   eps 0.9737   mix 0.0957   time 22.69
Epoch 114:  train loss 0.0160   train acc 0.9947   worst 0.9686   lr 0.0197   p 8.41   eps 0.9737   mix 0.0953   time 23.19
Epoch 115:  train loss 0.0165   train acc 0.9946   worst 0.9676   lr 0.0197   p 8.44   eps 0.9737   mix 0.0950   time 23.11
Epoch 116:  train loss 0.0165   train acc 0.9947   worst 0.9675   lr 0.0197   p 8.47   eps 0.9737   mix 0.0947   time 22.56
Epoch 117:  train loss 0.0160   train acc 0.9945   worst 0.9684   lr 0.0197   p 8.50   eps 0.9737   mix 0.0944   time 23.43
Epoch 118:  train loss 0.0162   train acc 0.9946   worst 0.9683   lr 0.0197   p 8.53   eps 0.9737   mix 0.0940   time 22.99
Epoch 119:  train loss 0.0166   train acc 0.9947   worst 0.9663   lr 0.0197   p 8.56   eps 0.9737   mix 0.0937   time 22.45
Epoch 120:  train loss 0.0166   train acc 0.9944   worst 0.9670   lr 0.0197   p 8.59   eps 0.9737   mix 0.0934   time 23.46
Epoch 121:  train loss 0.0158   train acc 0.9946   worst 0.9678   lr 0.0197   p 8.62   eps 0.9737   mix 0.0931   time 23.30
Epoch 122:  train loss 0.0167   train acc 0.9944   worst 0.9667   lr 0.0197   p 8.65   eps 0.9737   mix 0.0928   time 22.53
Epoch 123:  train loss 0.0163   train acc 0.9949   worst 0.9672   lr 0.0197   p 8.69   eps 0.9737   mix 0.0925   time 23.35
Epoch 124:  train loss 0.0158   train acc 0.9951   worst 0.9668   lr 0.0197   p 8.72   eps 0.9737   mix 0.0921   time 23.41
Epoch 125:  train loss 0.0162   train acc 0.9949   worst 0.9665   lr 0.0197   p 8.75   eps 0.9737   mix 0.0918   time 22.60
Epoch 126:  train loss 0.0158   train acc 0.9952   worst 0.9668   lr 0.0197   p 8.78   eps 0.9737   mix 0.0915   time 23.47
Epoch 127:  train loss 0.0158   train acc 0.9956   worst 0.9663   lr 0.0196   p 8.81   eps 0.9737   mix 0.0912   time 23.43
Epoch 128:  train loss 0.0154   train acc 0.9950   worst 0.9669   lr 0.0196   p 8.84   eps 0.9737   mix 0.0909   time 23.05
Epoch 129:  train loss 0.0164   train acc 0.9947   worst 0.9664   lr 0.0196   p 8.87   eps 0.9737   mix 0.0906   time 23.61
Epoch 130:  train loss 0.0163   train acc 0.9949   worst 0.9669   lr 0.0196   p 8.91   eps 0.9737   mix 0.0903   time 23.72
Epoch 131:  train loss 0.0164   train acc 0.9948   worst 0.9657   lr 0.0196   p 8.94   eps 0.9737   mix 0.0900   time 23.53
Epoch 132:  train loss 0.0163   train acc 0.9950   worst 0.9659   lr 0.0196   p 8.97   eps 0.9737   mix 0.0897   time 23.57
Epoch 133:  train loss 0.0157   train acc 0.9952   worst 0.9667   lr 0.0196   p 9.00   eps 0.9737   mix 0.0894   time 23.65
Epoch 134:  train loss 0.0160   train acc 0.9953   worst 0.9662   lr 0.0196   p 9.03   eps 0.9737   mix 0.0890   time 22.38
Epoch 135:  train loss 0.0164   train acc 0.9950   worst 0.9659   lr 0.0196   p 9.07   eps 0.9737   mix 0.0887   time 23.73
Epoch 136:  train loss 0.0159   train acc 0.9954   worst 0.9660   lr 0.0196   p 9.10   eps 0.9737   mix 0.0884   time 23.47
Epoch 137:  train loss 0.0159   train acc 0.9950   worst 0.9655   lr 0.0196   p 9.13   eps 0.9737   mix 0.0881   time 23.57
Epoch 138:  train loss 0.0159   train acc 0.9950   worst 0.9666   lr 0.0196   p 9.16   eps 0.9737   mix 0.0878   time 23.44
Epoch 139:  train loss 0.0158   train acc 0.9951   worst 0.9658   lr 0.0196   p 9.20   eps 0.9737   mix 0.0875   time 23.46
Epoch 140:  train loss 0.0157   train acc 0.9955   worst 0.9653   lr 0.0196   p 9.23   eps 0.9737   mix 0.0872   time 23.48
Epoch 141:  train loss 0.0166   train acc 0.9950   worst 0.9647   lr 0.0196   p 9.26   eps 0.9737   mix 0.0869   time 23.47
Epoch 142:  train loss 0.0162   train acc 0.9953   worst 0.9642   lr 0.0196   p 9.30   eps 0.9737   mix 0.0867   time 23.49
Epoch 143:  train loss 0.0155   train acc 0.9954   worst 0.9655   lr 0.0196   p 9.33   eps 0.9737   mix 0.0864   time 23.36
Epoch 144:  train loss 0.0165   train acc 0.9950   worst 0.9641   lr 0.0195   p 9.36   eps 0.9737   mix 0.0861   time 23.36
Epoch 145:  train loss 0.0156   train acc 0.9953   worst 0.9659   lr 0.0195   p 9.40   eps 0.9737   mix 0.0858   time 23.53
Epoch 146:  train loss 0.0162   train acc 0.9954   worst 0.9647   lr 0.0195   p 9.43   eps 0.9737   mix 0.0855   time 23.51
Epoch 147:  train loss 0.0162   train acc 0.9954   worst 0.9644   lr 0.0195   p 9.46   eps 0.9737   mix 0.0852   time 23.43
Epoch 148:  train loss 0.0162   train acc 0.9954   worst 0.9642   lr 0.0195   p 9.50   eps 0.9737   mix 0.0849   time 23.41
Epoch 149:  train loss 0.0163   train acc 0.9954   worst 0.9631   lr 0.0195   p 9.53   eps 0.9737   mix 0.0846   time 23.50
Epoch 150:  train loss 0.0163   train acc 0.9954   worst 0.9640   lr 0.0195   p 9.57   eps 0.9737   mix 0.0843   time 23.51
Epoch 151:  train loss 0.0160   train acc 0.9953   worst 0.9639   lr 0.0195   p 9.60   eps 0.9737   mix 0.0840   time 23.69
Epoch 152:  train loss 0.0161   train acc 0.9956   worst 0.9635   lr 0.0195   p 9.64   eps 0.9737   mix 0.0837   time 23.54
Epoch 153:  train loss 0.0161   train acc 0.9953   worst 0.9632   lr 0.0195   p 9.67   eps 0.9737   mix 0.0835   time 23.76
Epoch 154:  train loss 0.0163   train acc 0.9952   worst 0.9628   lr 0.0195   p 9.70   eps 0.9737   mix 0.0832   time 23.70
Epoch 155:  train loss 0.0160   train acc 0.9955   worst 0.9635   lr 0.0195   p 9.74   eps 0.9737   mix 0.0829   time 23.58
Epoch 156:  train loss 0.0154   train acc 0.9959   worst 0.9631   lr 0.0195   p 9.77   eps 0.9737   mix 0.0826   time 23.57
Epoch 157:  train loss 0.0158   train acc 0.9954   worst 0.9643   lr 0.0195   p 9.81   eps 0.9737   mix 0.0823   time 23.62
Epoch 158:  train loss 0.0161   train acc 0.9956   worst 0.9627   lr 0.0195   p 9.84   eps 0.9737   mix 0.0820   time 23.76
Epoch 159:  train loss 0.0158   train acc 0.9959   worst 0.9634   lr 0.0195   p 9.88   eps 0.9737   mix 0.0818   time 23.31
Epoch 160:  train loss 0.0161   train acc 0.9954   worst 0.9632   lr 0.0194   p 9.91   eps 0.9737   mix 0.0815   time 22.93
Epoch 161:  train loss 0.0159   train acc 0.9957   worst 0.9634   lr 0.0194   p 9.95   eps 0.9737   mix 0.0812   time 23.46
Epoch 162:  train loss 0.0156   train acc 0.9957   worst 0.9635   lr 0.0194   p 9.99   eps 0.9737   mix 0.0809   time 25.45
Epoch 163:  train loss 0.0158   train acc 0.9959   worst 0.9636   lr 0.0194   p 10.02   eps 0.9737   mix 0.0807   time 26.39
Epoch 164:  train loss 0.0156   train acc 0.9959   worst 0.9629   lr 0.0194   p 10.06   eps 0.9737   mix 0.0804   time 27.52
Epoch 165:  train loss 0.0157   train acc 0.9956   worst 0.9623   lr 0.0194   p 10.09   eps 0.9737   mix 0.0801   time 27.01
Epoch 166:  train loss 0.0160   train acc 0.9954   worst 0.9635   lr 0.0194   p 10.13   eps 0.9737   mix 0.0798   time 26.34
Epoch 167:  train loss 0.0158   train acc 0.9958   worst 0.9619   lr 0.0194   p 10.17   eps 0.9737   mix 0.0796   time 26.86
Epoch 168:  train loss 0.0161   train acc 0.9957   worst 0.9623   lr 0.0194   p 10.20   eps 0.9737   mix 0.0793   time 26.42
Epoch 169:  train loss 0.0164   train acc 0.9953   worst 0.9618   lr 0.0194   p 10.24   eps 0.9737   mix 0.0790   time 26.90
Epoch 170:  train loss 0.0157   train acc 0.9958   worst 0.9618   lr 0.0194   p 10.28   eps 0.9737   mix 0.0788   time 26.82
Epoch 171:  train loss 0.0157   train acc 0.9958   worst 0.9623   lr 0.0194   p 10.31   eps 0.9737   mix 0.0785   time 26.76
Epoch 172:  train loss 0.0160   train acc 0.9957   worst 0.9618   lr 0.0194   p 10.35   eps 0.9737   mix 0.0782   time 26.90
Epoch 173:  train loss 0.0159   train acc 0.9959   worst 0.9616   lr 0.0194   p 10.39   eps 0.9737   mix 0.0780   time 26.72
Epoch 174:  train loss 0.0160   train acc 0.9956   worst 0.9614   lr 0.0193   p 10.42   eps 0.9737   mix 0.0777   time 26.81
Epoch 175:  train loss 0.0155   train acc 0.9958   worst 0.9625   lr 0.0193   p 10.46   eps 0.9737   mix 0.0774   time 26.73
Epoch 176:  train loss 0.0159   train acc 0.9959   worst 0.9621   lr 0.0193   p 10.50   eps 0.9737   mix 0.0772   time 26.92
Epoch 177:  train loss 0.0160   train acc 0.9958   worst 0.9609   lr 0.0193   p 10.54   eps 0.9737   mix 0.0769   time 27.09
Epoch 178:  train loss 0.0159   train acc 0.9957   worst 0.9614   lr 0.0193   p 10.57   eps 0.9737   mix 0.0766   time 26.69
Epoch 179:  train loss 0.0158   train acc 0.9957   worst 0.9617   lr 0.0193   p 10.61   eps 0.9737   mix 0.0764   time 26.86
